Card Name,Card Code,Copies Possessed (out of 3),Class,Traits,Card Type,Card Cost,Attack,Defense,Artist,Promo Obtain Source (if PR in code),Art URL
Rose Queen,BP01-001EN,0,Forestcraft,Verdant,Follower,8,7,7,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-001EN.png
Ancient Elf,BP01-002EN,0,Forestcraft,Elf,Follower,2,2,2,Ryosuke Aiba (CyDesignation),,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-002EN.png
Ancient Elf,BP01-003EN,0,Forestcraft,Elf,Follower / Evolved,-,3,3,Ryosuke Aiba (CyDesignation),,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-003EN.png
Rhinoceroach,BP01-004EN,0,Forestcraft,Insect,Follower,2,1,1,Nejita,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-004EN.png
Rhinoceroach,BP01-005EN,0,Forestcraft,Insect,Follower / Evolved,-,1,1,Nejita,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-005EN.png
Robin Hood,BP01-006EN,0,Forestcraft,Hunter,Follower,5,4,5,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-006EN.png
Silver Bolt,BP01-007EN,0,Forestcraft,Elf,Spell,7,-,-,Ryosuke Aiba (CyDesignation),,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-007EN.png
Homecoming,BP01-008EN,0,Forestcraft,Elf,Spell,3,-,-,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-008EN.png
Elven Princess Mage,BP01-009EN,0,Forestcraft,Elf|Princess,Follower,3,3,3,Yoshiku,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-009EN.png
Elven Princess Mage,BP01-010EN,0,Forestcraft,Elf|Princess,Follower / Evolved,-,4,4,Yoshiku,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-010EN.png
Blessed Fairy Dancer,BP01-011EN,0,Forestcraft,Pixie,Follower,2,2,3,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-011EN.png
Elf Child May,BP01-012EN,0,Forestcraft,Elf,Follower,1,1,1,Tsune-kun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-012EN.png
Fairy Beast,BP01-013EN,0,Forestcraft,Pixie|Beast,Follower,5,5,5,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-013EN.png
Noble Fairy,BP01-014EN,0,Forestcraft,Pixie|Princess,Follower,3,3,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-014EN.png
Nature's Guidance,BP01-015EN,0,Forestcraft,Pixie,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP01/BP01-015EN.png
